num diffs,metric,mutation rate,coverage,k-length,score,,,,,
21792,BF,3.00E-05,40,10,0.966838497,,,,,
34058,BF,3.00E-05,40,20,0.97733733,,,,,
8958,BF,3.00E-05,40,30,0.862137122,,,,,
23889,BF,3.00E-05,40,40,0.845535462,,,,,
5005,BF,1.00E-05,10,10,0.987620238,,,,,
11467,BF,1.00E-05,10,20,0.891470848,,,,,
9015,BF,1.00E-05,10,30,0.915307758,,,,,
2107,BF,1.00E-05,10,40,0.876134229,,,,,
7106,BF,1.00E-05,20,10,0.992504574,,,,,
8682,BF,1.00E-05,20,20,0.928139136,,,,,
7062,BF,1.00E-05,20,30,0.951545907,,,,,
7653,BF,1.00E-05,20,40,0.950993766,,,,,
4281,BF,1.00E-05,30,10,0.9940587,,,,,
2349,BF,1.00E-05,30,20,0.988895363,,,,,
7356,BF,1.00E-05,30,30,0.891110002,,,,,
7470,BF,1.00E-05,30,40,0.876346028,,,,,
7627,BF,1.00E-05,40,10,0.98867029,,,,,
8560,BF,1.00E-05,40,20,0.964074403,,,,,
2994,BF,1.00E-05,40,30,0.980142059,,,,,
6944,BF,1.00E-05,40,40,0.932064494,,,,,
4065,BF,3.00E-05,10,10,0.988498442,,,,,
32322,BF,3.00E-05,10,20,0.827992202,,,,,
28880,BF,3.00E-05,10,30,0.805553274,,,,,
35164,BF,3.00E-05,10,40,0.806315168,,,,,
20021,BF,3.00E-05,20,10,0.992939276,,,,,
10918,BF,3.00E-05,20,20,0.909226616,,,,,
23079,BF,3.00E-05,20,30,0.97155727,,,,,
16285,BF,3.00E-05,20,40,0.921784067,,,,,
12632,BF,3.00E-05,30,10,0.988379371,,,,,
13349,BF,3.00E-05,30,20,0.965029052,,,,,
18228,BF,3.00E-05,30,30,0.944258501,,,,,
12712,BF,3.00E-05,30,40,0.821186463,,,,,
27822,BF,3.00E-05,40,10,0.94782934,,,,,
5122,BF,3.00E-05,40,20,0.969394199,,,,,
17428,BF,3.00E-05,40,30,0.953066797,,,,,
6831,BF,3.00E-05,40,40,0.959118138,,,,,
4368,BF,1.00E-05,10,10,0.987395615,,,,,
9429,BF,1.00E-05,10,20,0.911144534,,,,,
11147,BF,1.00E-05,10,30,0.910878796,,,,,
7739,BF,1.00E-05,10,40,0.824292743,,,,,
7933,BF,1.00E-05,20,10,0.994485656,,,,,
2232,BF,1.00E-05,20,20,0.952608031,,,,,
5468,BF,1.00E-05,20,30,0.971584097,,,,,
9879,BF,1.00E-05,20,40,0.948895345,,,,,
14977,BF,1.00E-05,30,10,0.985234475,,,,,
13568,BF,1.00E-05,30,20,0.956976507,,,,,
5770,BF,1.00E-05,30,30,0.974742572,,,,,
9233,BF,1.00E-05,30,40,0.922938693,,,,,
3995,BF,1.00E-05,40,10,0.985248195,,,,,
12420,BF,1.00E-05,40,20,0.980537789,,,,,
5307,BF,1.00E-05,40,30,0.980466148,,,,,
12457,BF,1.00E-05,40,40,0.891298206,,,,,
42966,BF,3.00E-05,10,10,0.978172961,,,,,
730,BF,3.00E-05,10,20,0.946609878,,,,,
18996,BF,3.00E-05,10,30,0.793734132,,,,,
49292,BF,3.00E-05,10,40,0.75905105,,,,,
2943,BF,3.00E-05,20,10,0.988766337,,,,,
18407,BF,3.00E-05,20,20,0.814832366,,,,,
27989,BF,3.00E-05,20,30,0.940259579,,,,,
15128,BF,3.00E-05,20,40,0.662831347,,,,,
9809,BF,3.00E-05,30,10,0.989439471,,,,,
13462,BF,3.00E-05,30,20,0.896709244,,,,,
34586,BF,3.00E-05,30,30,0.904139613,,,,,
10351,BF,3.00E-05,30,40,0.87842647,,,,,
34581,BF,3.00E-05,40,10,0.969578929,,,,,
41785,BF,3.00E-05,40,20,0.854220052,,,,,
21938,BF,3.00E-05,40,30,0.956077943,,,,,
16395,BF,3.00E-05,40,40,0.937684156,,,,,
6852,BF,1.00E-05,10,10,0.985550911,,,,,
9995,BF,1.00E-05,10,20,0.907969704,,,,,
7761,BF,1.00E-05,10,30,0.896665402,,,,,
1645,BF,1.00E-05,10,40,0.887684905,,,,,
7428,BF,1.00E-05,20,10,0.993115561,,,,,
8951,BF,1.00E-05,20,20,0.974485756,,,,,
15900,BF,1.00E-05,20,30,0.953905764,,,,,
6678,BF,1.00E-05,20,40,0.918843386,,,,,
5111,BF,1.00E-05,30,10,0.993765577,,,,,
13879,BF,1.00E-05,30,20,0.962971316,,,,,
6699,BF,1.00E-05,30,30,0.930112088,,,,,
5188,BF,1.00E-05,30,40,0.9595877,,,,,
5439,BF,1.00E-05,40,10,0.984350393,,,,,
5114,BF,1.00E-05,40,20,0.977126565,,,,,
6109,BF,1.00E-05,40,30,0.966283853,,,,,
5881,BF,1.00E-05,40,40,0.942342801,,,,,
44082,BF,3.00E-05,10,10,0.972181758,,,,,
0,BC,0,10,10,0.086549798,,,,,
0,BC,0,10,10,0.084723078,,,,,
1604,BC,1.00E-05,10,10,0.093054779,,,,,
8046,BC,1.00E-05,10,20,0.232682043,,,,,
3934,BC,1.00E-05,10,30,0.255797047,,,,,
8218,BC,1.00E-05,10,40,0.314386927,,,,,
7808,BC,1.00E-05,20,10,0.093168635,,,,,
23354,BC,1.00E-05,20,20,0.30435133,,,,,
6365,BC,1.00E-05,20,30,0.237977753,,,,,
624,BC,1.00E-05,20,40,0.128475614,,,,,
9860,BC,1.00E-05,30,10,0.074977965,,,,,
24477,BC,1.00E-05,30,20,0.106451041,,,,,
2982,BC,1.00E-05,30,30,0.146534864,,,,,
38003,BC,3.00E-05,10,10,0.165517494,,,,,
15717,BC,3.00E-05,10,20,0.270711405,,,,,
21751,BC,3.00E-05,10,30,0.359357596,,,,,
33184,BC,3.00E-05,10,40,0.660761369,,,,,
10817,BC,3.00E-05,10,10,0.111063435,,,,,
12440,BC,3.00E-05,10,20,0.322949903,,,,,
15697,BC,3.00E-05,10,30,0.349433632,,,,,
22473,BC,3.00E-05,10,40,0.494115884,,,,,
11241,BC,3.00E-05,20,10,0.090330783,,,,,
12880,BC,3.00E-05,20,20,0.108224716,,,,,
14570,BC,3.00E-05,20,30,0.338888036,,,,,
5861,BC,3.00E-05,20,40,0.269511189,,,,,
49585,BC,3.00E-05,30,10,0.158239861,,,,,
22605,BC,3.00E-05,30,20,0.256495315,,,,,
24062,BC,3.00E-05,30,30,0.270090883,,,,,
55172,BC,3.00E-05,30,40,0.666705277,,,,,
24486,BC,3.00E-05,40,10,0.094299008,,,,,
21917,BC,3.00E-05,40,20,0.238793821,,,,,
22866,BC,3.00E-05,10,10,0.101862734,,,,,
17034,BC,3.00E-05,10,20,0.214220509,,,,,
9955,BC,3.00E-05,10,30,0.360796181,,,,,
15610,BC,3.00E-05,10,40,0.38782863,,,,,
12580,BC,3.00E-05,20,10,0.097884803,,,,,
16393,BC,3.00E-05,20,20,0.225582184,,,,,
10830,BC,3.00E-05,20,30,0.194328371,,,,,
11962,BC,3.00E-05,20,40,0.382349408,,,,,
71546,BC,3.00E-05,30,10,0.182167102,,,,,
44667,BC,3.00E-05,30,20,0.381118018,,,,,
32071,BC,3.00E-05,30,30,0.317059383,,,,,
39111,BC,3.00E-05,30,40,0.428039339,,,,,
7283,BC,3.00E-05,40,10,0.055387425,,,,,
13893,BC,3.00E-05,40,20,0.154360077,,,,,
27585,BC,3.00E-05,40,30,0.376120987,,,,,
15230,BC,3.00E-05,40,40,0.34502744,,,,,
10936,BC,1.00E-05,10,10,0.089087911,,,,,
9220,BC,1.00E-05,10,20,0.2432888,,,,,
23213,BC,1.00E-05,10,30,0.43046182,,,,,
18156,BC,1.00E-05,10,40,0.393299608,,,,,
5453,BC,1.00E-05,20,10,0.079652146,,,,,
9923,BC,1.00E-05,20,20,0.142840554,,,,,
3715,BC,1.00E-05,20,30,0.133902635,,,,,
7617,BC,1.00E-05,20,40,0.244678338,,,,,
9622,BC,1.00E-05,30,10,0.076779632,,,,,
8277,BC,1.00E-05,30,20,0.151987635,,,,,
13374,BC,1.00E-05,30,30,0.278409542,,,,,
2881,BC,1.00E-05,30,40,0.1334602,,,,,
1220,BC,1.00E-05,40,10,0.038929621,,,,,
6711,BC,1.00E-05,40,20,0.104959505,,,,,
3040,BC,1.00E-05,40,30,0.11002797,,,,,
6647,BC,1.00E-05,40,40,0.146644893,,,,,
57652,BC,3.00E-05,10,10,0.189296206,,,,,
24535,BC,3.00E-05,10,20,0.430786643,,,,,
8398,BC,3.00E-05,10,30,0.291290469,,,,,
52071,BC,3.00E-05,10,40,0.695091834,,,,,
10309,BC,3.00E-05,20,10,0.08367383,,,,,
9697,BC,3.00E-05,20,20,0.187005867,,,,,
19135,BC,3.00E-05,20,30,0.303161208,,,,,
34195,BC,3.00E-05,20,40,0.240963813,,,,,
48798,BC,3.00E-05,30,10,0.116069188,,,,,
41908,BC,3.00E-05,30,20,0.186826075,,,,,
15318,BC,3.00E-05,30,30,0.231780083,,,,,
25334,BC,3.00E-05,30,40,0.506307217,,,,,
