num diffs,metric,mutation rate,coverage,k-length,score,hash
912,BC,1e-06,20,30,0.11609672224603107,0
912,BF,1e-06,20,30,0.9827389241721807,5
912,BF,1e-06,20,30,0.9846136845394315,6
912,BF,1e-06,20,30,0.9861119992150933,7
687,BC,1e-06,20,40,0.12521450038512538,0
687,BF,1e-06,20,40,0.9811052076782459,5
687,BF,1e-06,20,40,0.9831342227851124,6
687,BF,1e-06,20,40,0.9847732834437233,7
529,BC,1e-06,30,10,0.04605492870580441,0
529,BF,1e-06,30,10,0.9961950213704173,5
529,BF,1e-06,30,10,0.9964478253645894,6
529,BF,1e-06,30,10,0.9966701464927917,7
1569,BC,1e-06,30,20,0.08489709895745423,0
1569,BF,1e-06,30,20,0.9907417249036463,5
1569,BF,1e-06,30,20,0.9917419677412538,6
1569,BF,1e-06,30,20,0.99254835211238,7
838,BC,1e-06,30,30,0.09450663420501759,0
838,BF,1e-06,30,30,0.9888915237599075,5
838,BF,1e-06,30,30,0.9900989102238281,6
838,BF,1e-06,30,30,0.9910628485236491,7
1108,BC,1e-06,30,40,0.11826013072845243,0
1108,BF,1e-06,30,40,0.9803269376018391,5
1108,BF,1e-06,30,40,0.9824354710442641,6
1108,BF,1e-06,30,40,0.9841359333927228,7
780,BC,1e-06,40,10,0.03762963438931166,0
780,BF,1e-06,40,10,0.9969490487620857,5
780,BF,1e-06,40,10,0.9971621282912717,6
780,BF,1e-06,40,10,0.997345121196005,7
819,BC,1e-06,40,20,0.07748009736919559,0
819,BF,1e-06,40,20,0.9914540511830174,5
819,BF,1e-06,40,20,0.9923825564493515,6
819,BF,1e-06,40,20,0.9931271967042856,7
699,BC,1e-06,40,30,0.08551371524453488,0
699,BF,1e-06,40,30,0.9895478768800618,5
699,BF,1e-06,40,30,0.9906795590311815,6
699,BF,1e-06,40,30,0.9915840451298098,7
1041,BC,1e-06,40,40,0.08145949419335607,0
1041,BF,1e-06,40,40,0.9917888561349045,5
1041,BF,1e-06,40,40,0.9926780917887892,6
1041,BF,1e-06,40,40,0.9933879710539998,7
11668,BC,1e-05,10,10,0.09698667715410925,0
11668,BF,1e-05,10,10,0.9846163480635607,5
11668,BF,1e-05,10,10,0.985621463966726,6
11668,BF,1e-05,10,10,0.9864983033371326,7
4922,BC,1e-05,10,20,0.2165436024820353,0
4922,BF,1e-05,10,20,0.9480232019437317,5
4922,BF,1e-05,10,20,0.9534983491747993,6
4922,BF,1e-05,10,20,0.9579160070792946,7
7909,BC,1e-05,10,30,0.28631614315982157,0
7909,BF,1e-05,10,30,0.9131028053457123,5
7909,BF,1e-05,10,30,0.9221965838728936,6
7909,BF,1e-05,10,30,0.9295298109160404,7
1488,BC,1e-05,10,40,0.2699045957677412,0
1488,BF,1e-05,10,40,0.9201918856247424,5
1488,BF,1e-05,10,40,0.9282473088241179,6
1488,BF,1e-05,10,40,0.9349223671539482,7
5825,BC,1e-05,15,10,0.08504930425647916,0
5825,BF,1e-05,15,10,0.9878373204677452,5
5825,BF,1e-05,15,10,0.9886277554404552,6
5825,BF,1e-05,15,10,0.9893278618744762,7
8620,BC,1e-05,15,20,0.2447192642365552,0
8620,BF,1e-05,15,20,0.9288271635595255,5
8620,BF,1e-05,15,20,0.9364917165197862,6
8620,BF,1e-05,15,20,0.9426274906422925,7
9487,BC,1e-05,15,30,0.28139548269092085,0
9487,BF,1e-05,15,30,0.9197156954094098,5
9487,BF,1e-05,15,30,0.9283293310811273,6
9487,BF,1e-05,15,30,0.9352808700150703,7
9255,BC,1e-05,15,40,0.3325561160992453,0
9255,BF,1e-05,15,40,0.9020571467034603,5
9255,BF,1e-05,15,40,0.9124019921610794,6
9255,BF,1e-05,15,40,0.9208271727704349,7
2962,BC,1e-05,20,10,0.06379290542575622,0
2962,BF,1e-05,20,10,0.9930020282799347,5
2962,BF,1e-05,20,10,0.9934555550484698,6
2962,BF,1e-05,20,10,0.9938584852763338,7
5565,BC,1e-05,20,20,0.14571285650112153,0
5565,BF,1e-05,20,20,0.9752963544807031,5
5565,BF,1e-05,20,20,0.9779670561753271,6
5565,BF,1e-05,20,20,0.98013442018333,7
11245,BC,1e-05,20,30,0.23718362028546358,0
11245,BF,1e-05,20,30,0.938946392606959,5
11245,BF,1e-05,20,30,0.9455811415937865,6
11245,BF,1e-05,20,30,0.9508962959954339,7
17131,BC,1e-05,20,40,0.18141959833593302,0
17131,BF,1e-05,20,40,0.9578833559057165,5
17131,BF,1e-05,20,40,0.9623790187257375,6
17131,BF,1e-05,20,40,0.9660330048545405,7
8858,BC,1e-05,30,10,0.054888643830778405,0
8858,BF,1e-05,30,10,0.9945926302432021,5
8858,BF,1e-05,30,10,0.994952437281912,6
8858,BF,1e-05,30,10,0.99527254528572,7
4492,BC,1e-05,30,20,0.11379780346386081,0
4492,BF,1e-05,30,20,0.9846195895956847,5
4492,BF,1e-05,30,20,0.9862996595695416,6
4492,BF,1e-05,30,20,0.9876364864263213,7
6639,BC,1e-05,30,30,0.24978478798524828,0
6639,BF,1e-05,30,30,0.9320547888526032,5
6639,BF,1e-05,30,30,0.939416042174432,6
6639,BF,1e-05,30,30,0.9453314406873192,7
10088,BC,1e-05,30,40,0.19227724906697763,0
10088,BF,1e-05,30,40,0.9510270635194726,5
10088,BF,1e-05,30,40,0.9563714000245506,6
10088,BF,1e-05,30,40,0.9606403140552509,7
3839,BC,1e-05,40,10,0.0384880805315313,0
3839,BF,1e-05,40,10,0.9970558754942593,5
3839,BF,1e-05,40,10,0.9972588288458116,6
3839,BF,1e-05,40,10,0.9974345191067572,7
9449,BC,1e-05,40,20,0.1588085580712023,0
9449,BF,1e-05,40,20,0.9679307187042748,5
9449,BF,1e-05,40,20,0.9714525869898968,6
9449,BF,1e-05,40,20,0.9742591281508043,7
2864,BC,1e-05,40,30,0.08591742032125727,0
2864,BF,1e-05,40,30,0.9888789662865285,5
2864,BF,1e-05,40,30,0.9900762479142804,6
2864,BF,1e-05,40,30,0.9910486483588119,7
13003,BC,1e-05,40,40,0.2014465101570131,0
13003,BF,1e-05,40,40,0.9504714801602624,5
13003,BF,1e-05,40,40,0.9558712129729445,6
13003,BF,1e-05,40,40,0.9602077826015382,7
22868,BC,3e-05,10,10,0.10022305691934841,0
22868,BF,3e-05,10,10,0.9838390213504195,5
22868,BF,3e-05,10,10,0.984892603934362,6
22868,BF,3e-05,10,10,0.9858199438771362,7
48195,BC,3e-05,10,20,0.4711572819688056,0
48195,BF,3e-05,10,20,0.8287443899861554,5
48195,BF,3e-05,10,20,0.8468627656930651,6
48195,BF,3e-05,10,20,0.8614404215881809,7
19258,BC,3e-05,10,30,0.4525280706218956,0
19258,BF,3e-05,10,30,0.837067754826897,5
19258,BF,3e-05,10,30,0.8539384767335453,6
19258,BF,3e-05,10,30,0.8676363524390853,7
19334,BC,3e-05,10,40,0.4448906366320696,0
19334,BF,3e-05,10,40,0.836231359882772,5
19334,BF,3e-05,10,40,0.8524058453472828,6
19334,BF,3e-05,10,40,0.8656729338327309,7
70304,BC,3e-05,15,10,0.20258059178818322,0
70304,BF,3e-05,15,10,0.9363661881948167,5
70304,BF,3e-05,15,10,0.9405261107896995,6
70304,BF,3e-05,15,10,0.9441407529775755,7
14972,BC,3e-05,15,20,0.23965876363585747,0
14972,BF,3e-05,15,20,0.9389492030862616,5
14972,BF,3e-05,15,20,0.9455737075395194,6
14972,BF,3e-05,15,20,0.9508744731286094,7
51611,BC,3e-05,15,30,0.560465765137229,0
51611,BF,3e-05,15,30,0.8025230081443178,5
51611,BF,3e-05,15,30,0.8236904198834005,6
51611,BF,3e-05,15,30,0.8408506882084141,7
63696,BC,3e-05,15,40,0.5432492648411573,0
63696,BF,3e-05,15,40,0.8020605354828041,5
63696,BF,3e-05,15,40,0.823033100577192,6
63696,BF,3e-05,15,40,0.8400554644375453,7
6151,BC,3e-05,20,10,0.09229247943768404,0
6151,BF,3e-05,20,10,0.9842208575276277,5
6151,BF,3e-05,20,10,0.985249434332888,6
6151,BF,3e-05,20,10,0.9861505832036705,7
20116,BC,3e-05,20,20,0.2409091983270294,0
20116,BF,3e-05,20,20,0.9447241018056565,5
20116,BF,3e-05,20,20,0.9507954614831242,6
20116,BF,3e-05,20,20,0.9556546447525766,7
6448,BC,3e-05,20,30,0.1829497774709561,0
6448,BF,3e-05,20,30,0.9604886712331718,5
6448,BF,3e-05,20,30,0.9647763541641574,6
6448,BF,3e-05,20,30,0.968234106151444,7
28248,BC,3e-05,20,40,0.4259769784014925,0
28248,BF,3e-05,20,40,0.8727178577706725,5
28248,BF,3e-05,20,40,0.8866472308919067,6
28248,BF,3e-05,20,40,0.8978090938859777,7
599,BC,1e-06,10,10,0.08696756292569752,0
599,BF,1e-06,10,10,0.987417268973547,5
599,BF,1e-06,10,10,0.9882361953592014,6
599,BF,1e-06,10,10,0.9889640695650215,7
762,BC,1e-06,10,20,0.17196447350850452,0
762,BF,1e-06,10,20,0.9641197889249732,5
762,BF,1e-06,10,20,0.9678996051096543,6
762,BF,1e-06,10,20,0.9709502805751609,7
117,BC,1e-06,10,30,0.20194324237723582,0
117,BF,1e-06,10,30,0.9515481100658605,5
117,BF,1e-06,10,30,0.9565758115968168,6
117,BF,1e-06,10,30,0.9606653230508352,7
745,BC,1e-06,10,40,0.2621975318988966,0
745,BF,1e-06,10,40,0.9234553223386923,5
745,BF,1e-06,10,40,0.9312762769233953,6
745,BF,1e-06,10,40,0.9376160698524891,7
430,BC,1e-06,15,10,0.07007267973550624,0
430,BF,1e-06,15,10,0.9917201429303618,5
430,BF,1e-06,15,10,0.9922596418056155,6
430,BF,1e-06,15,10,0.9927368146452807,7
527,BC,1e-06,15,20,0.11970890250618449,0
527,BF,1e-06,15,20,0.9823266969617369,5
527,BF,1e-06,15,20,0.9842140957683909,6
527,BF,1e-06,15,20,0.9857459762427057,7
847,BC,1e-06,15,30,0.1386844428111006,0
