num diffs,metric,mutation rate,coverage,k-length,score
BF,1e-05,30,10,0.9927202498128074
1499,BC,1e-05,30,20,0.087037641060414
BF,1e-05,30,20,0.9876281434380858
5779,BC,1e-05,30,30,0.14774514884874912
BF,1e-05,30,30,0.9630777344023621
9929,BC,1e-05,30,40,0.31787791344989025
BF,1e-05,30,40,0.8565572140385563
6827,BC,1e-05,40,10,0.04391144011738679
BF,1e-05,40,10,0.9882854908177797
7033,BC,1e-05,40,20,0.10731789524003321
BF,1e-05,40,20,0.979269930073353
9603,BC,1e-05,40,30,0.20257503638976004
BF,1e-05,40,30,0.9305957377127714
8079,BC,1e-05,40,40,0.177225992411305
BF,1e-05,40,40,0.9505747106682396
41408,BC,3e-05,10,10,0.11773498181684583
BF,3e-05,10,10,0.9796957704950041
19332,BC,3e-05,10,20,0.34995088153746245
BF,3e-05,10,20,0.8383905355568768
54236,BC,3e-05,10,30,0.5770188965672947
BF,3e-05,10,30,0.7007004736543437
32609,BC,3e-05,10,40,0.4358586290279238
BF,3e-05,10,40,0.7803308625327613
41913,BC,3e-05,20,10,0.13974581783434648
BF,3e-05,20,10,0.9826826960706897
24732,BC,3e-05,20,20,0.3016491580276087
BF,3e-05,20,20,0.875535028683749
17259,BC,3e-05,20,30,0.27467237540629397
BF,3e-05,20,30,0.8847288181264608
17203,BC,3e-05,20,40,0.5583233036043288
BF,3e-05,20,40,0.705924824857232
22458,BC,3e-05,30,10,0.08465446508711416
BF,3e-05,30,10,0.9894591364695774
13743,BC,3e-05,30,20,0.22386345342261582
BF,3e-05,30,20,0.9175615091112443
36506,BC,3e-05,30,30,0.40326659468090675
BF,3e-05,30,30,0.8179467221075828
9588,BC,3e-05,30,40,0.13771954668663444
BF,3e-05,30,40,0.9694461016424989
27922,BC,3e-05,40,10,0.09809232971351767
BF,3e-05,40,10,0.9745232950210794
28794,BC,3e-05,40,20,0.3121796183984925
BF,3e-05,40,20,0.877718613401558
19797,BC,3e-05,40,30,0.3079276216555634
BF,3e-05,40,30,0.8684879721110029
22980,BC,3e-05,40,40,0.34469098533374254
BF,3e-05,40,40,0.8587180615154208
5579,BC,1e-05,10,10,0.0989601243170708
BF,1e-05,10,10,0.985842996510562
10357,BC,1e-05,10,20,0.30568674860450995
BF,1e-05,10,20,0.8745581006946924
1883,BC,1e-05,10,30,0.220535288041387
BF,1e-05,10,30,0.9191066119381225
8021,BC,1e-05,10,40,0.3437310750868535
BF,1e-05,10,40,0.8439363745012405
2565,BC,1e-05,20,10,0.06704977654479105
BF,1e-05,20,10,0.9923224263026583
17372,BC,1e-05,20,20,0.17769689679769318
BF,1e-05,20,20,0.9484052021533462
6876,BC,1e-05,20,30,0.21889383719920275
BF,1e-05,20,30,0.9150813150107804
4345,BC,1e-05,20,40,0.13487612267592652
BF,1e-05,20,40,0.970868798987047
2186,BC,1e-05,30,10,0.05252218968460631
BF,1e-05,30,10,0.9933632321894058
5037,BC,1e-05,30,20,0.10272185493828478
BF,1e-05,30,20,0.983087910389446
3848,BC,1e-05,30,30,0.14216856914662912
BF,1e-05,30,30,0.962669773682133
801,BC,1e-05,30,40,0.1505484690965414
BF,1e-05,30,40,0.9594088622831001
9029,BC,1e-05,40,10,0.060762372909004436
BF,1e-05,40,10,0.9820712809449517
1496,BC,1e-05,40,20,0.16881930320568073
BF,1e-05,40,20,0.9554696160825934
9159,BC,1e-05,40,30,0.13919040973138164
BF,1e-05,40,30,0.9707910915498722
4740,BC,1e-05,40,40,0.14988780846907745
BF,1e-05,40,40,0.9606196911358861
38180,BC,3e-05,10,10,0.1539962872063595
BF,3e-05,10,10,0.9662741191925341
24203,BC,3e-05,10,20,0.2793387394014256
BF,3e-05,10,20,0.8800845506419191
32941,BC,3e-05,10,30,0.35009451495234656
BF,3e-05,10,30,0.8474424390004603
16479,BC,3e-05,10,40,0.46877782763985754
BF,3e-05,10,40,0.7648304844306353
6314,BC,3e-05,20,10,0.0796991901779942
BF,3e-05,20,10,0.9953833683357464
27064,BC,3e-05,20,20,0.3237831968838544
BF,3e-05,20,20,0.8705019437466056
16411,BC,3e-05,20,30,0.18466657674970377
BF,3e-05,20,30,0.9463051217166919
25811,BC,3e-05,20,40,0.3991440147068992
BF,3e-05,20,40,0.8227523983657276
13896,BC,3e-05,30,10,0.08786411459588661
BF,3e-05,30,10,0.9859006825648255
31449,BC,3e-05,30,20,0.2983927172574322
BF,3e-05,30,20,0.876694963553263
16324,BC,3e-05,30,30,0.2764526160275651
BF,3e-05,30,30,0.887316642724937
29746,BC,3e-05,30,40,0.4566098407901227
BF,3e-05,30,40,0.776859268671052
22565,BC,3e-05,40,10,0.08555941123039967
BF,3e-05,40,10,0.9730433029636442
34454,BC,3e-05,40,20,0.26425931281326975
BF,3e-05,40,20,0.9203774788076303
45993,BC,3e-05,40,30,0.27853169219754925
BF,3e-05,40,30,0.9077344534451018
36276,BC,3e-05,40,40,0.5317217224089101
BF,3e-05,40,40,0.7145375179356072
11787,BC,1e-05,10,10,0.1175029724239941
BF,1e-05,10,10,0.979818162179904
14448,BC,1e-05,10,20,0.2236184613755623
BF,1e-05,10,20,0.916497983457851
7357,BC,1e-05,10,30,0.26142949850050834
BF,1e-05,10,30,0.8960337724693944
3547,BC,1e-05,10,40,0.25691103915524205
BF,1e-05,10,40,0.896933719758623
12003,BC,1e-05,20,10,0.0807173250338531
BF,1e-05,20,10,0.9932083135382331
5473,BC,1e-05,20,20,0.13698514753342184
BF,1e-05,20,20,0.9669683602189868
3856,BC,1e-05,20,30,0.16218319041851914
BF,1e-05,20,30,0.952144655881449
5439,BC,1e-05,20,40,0.21985047153849246
BF,1e-05,20,40,0.9210857458128452
12504,BC,1e-05,30,10,0.0832155314234686
BF,1e-05,30,10,0.9884986149457153
5938,BC,1e-05,30,20,0.11182598272654465
BF,1e-05,30,20,0.9777497424190641
3788,BC,1e-05,30,30,0.13957388802220982
BF,1e-05,30,30,0.9603615685501005
5031,BC,1e-05,30,40,0.22476064263821693
BF,1e-05,30,40,0.9051261604252836
6201,BC,1e-05,40,10,0.06739054488571927
BF,1e-05,40,10,0.9782704692563072
8237,BC,1e-05,40,20,0.09779849308410415
BF,1e-05,40,20,0.9807316774726783
3371,BC,1e-05,40,30,0.12321513795062655
BF,1e-05,40,30,0.9681917577186271
6455,BC,1e-05,40,40,0.27696358300025103
BF,1e-05,40,40,0.8921286591297832
65980,BC,3e-05,10,10,0.2144418803888014
BF,3e-05,10,10,0.9365070813735153
12916,BC,3e-05,10,20,0.23149011520472595
BF,3e-05,10,20,0.918925180136737
15514,BC,3e-05,10,30,0.4165324293937398
BF,3e-05,10,30,0.804582685241905
26262,BC,3e-05,10,40,0.509939855251385
BF,3e-05,10,40,0.7366263959949932
9018,BC,3e-05,20,10,0.07801365803518334
BF,3e-05,20,10,0.9934796574904011
27177,BC,3e-05,20,20,0.269301750728861
BF,3e-05,20,20,0.8800496806598499
14041,BC,3e-05,20,30,0.22091273028807845
BF,3e-05,20,30,0.933700395034886
9888,BC,3e-05,20,40,0.28672311020934227
BF,3e-05,20,40,0.8845624172146943
32194,BC,3e-05,30,10,0.10643082971408824
BF,3e-05,30,10,0.9843149781999366
30164,BC,3e-05,30,20,0.2502962967945074
BF,3e-05,30,20,0.9243978948816246
23067,BC,3e-05,30,30,0.33540857179162387
BF,3e-05,30,30,0.8687623270346052
15667,BC,3e-05,30,40,0.22667687226971878
BF,3e-05,30,40,0.925662406305659
16384,BC,3e-05,40,10,0.0580865675763802
BF,3e-05,40,10,0.986856063894947
21297,BC,3e-05,40,20,0.239571653587637
BF,3e-05,40,20,0.916141388332895
14887,BC,3e-05,40,30,0.2637812415789277
BF,3e-05,40,30,0.9088106141226823
39446,BC,3e-05,40,40,0.3805966748574213
BF,3e-05,40,40,0.8356363375738015
15899,BC,1e-05,10,10,0.1022202715093895
BF,1e-05,10,10,0.9848589629801048
6435,BC,1e-05,10,20,0.22356904296756208
BF,1e-05,10,20,0.9188152997919267
1525,BC,1e-05,10,30,0.22942838379337271
BF,1e-05,10,30,0.9155550365509203
5855,BC,1e-05,10,40,0.3590834187962252
BF,1e-05,10,40,0.8360924746509549
5741,BC,1e-05,20,10,0.07892744955963327
BF,1e-05,20,10,0.9912960178138396
4692,BC,1e-05,20,20,0.13315612869709803
BF,1e-05,20,20,0.968446222871833
10172,BC,1e-05,20,30,0.2810573095080585
BF,1e-05,20,30,0.882578901154603
8332,BC,1e-05,20,40,0.182220532924955
BF,1e-05,20,40,0.9469557265640793
9100,BC,1e-05,30,10,0.07318286793380058
BF,1e-05,30,10,0.9908323438570193
5898,BC,1e-05,30,20,0.12884412661836164
BF,1e-05,30,20,0.9693570244664017
2913,BC,1e-05,30,30,0.14990607122283128
BF,1e-05,30,30,0.9525932042259303
13418,BC,1e-05,30,40,0.3147952252724113
BF,1e-05,30,40,0.8603688953459238
5408,BC,1e-05,40,10,0.052268307717208695
BF,1e-05,40,10,0.9831188191679123
9244,BC,1e-05,40,20,0.1026773441052059
