num diffs,metric,mutation rate,coverage,k-length,score
51,BC,1e-06,20,10,0.059961696448707524
385,BC,1e-06,20,20,0.104222438554187
217,BC,1e-06,20,30,0.1082405055570268
691,BC,1e-06,20,40,0.12536591451672474
583,BC,1e-06,30,10,0.05030857429508284
213,BC,1e-06,30,20,0.08333170054419792
634,BC,1e-06,30,30,0.08973910270378171
884,BC,1e-06,30,40,0.10766734057826943
1248,BC,1e-06,40,10,0.04002189727487038
1037,BC,1e-06,40,20,0.08101934674332467
968,BC,1e-06,40,30,0.08574940931988195
250,BC,1e-06,40,40,0.08488922112265385
27630,BC,1e-05,10,10,0.15617942897799209
1733,BC,1e-05,10,20,0.18026508603611968
7378,BC,1e-05,10,30,0.2999136104954193
11063,BC,1e-05,10,40,0.39214586942949237
9291,BC,1e-05,20,10,0.08207245239499261
14321,BC,1e-05,20,20,0.19145448965466638
19203,BC,1e-05,20,30,0.14256149986682787
1089,BC,1e-05,20,40,0.22082341251204185
6446,BC,1e-05,30,10,0.06158124857201408
5845,BC,1e-05,30,20,0.09926422944140834
5017,BC,1e-05,30,30,0.1544447468100234
5858,BC,1e-05,30,40,0.17516219931598664
2562,BC,1e-05,40,10,0.05823156851445299
19178,BC,1e-05,40,20,0.22472725623084056
7719,BC,1e-05,40,30,0.1881224382312081
6787,BC,1e-05,40,40,0.2400398594607518
399,BC,1e-06,10,10,0.08826373173742796
1082,BC,1e-06,10,20,0.19018224868242672
652,BC,1e-06,10,30,0.21307780982439717
558,BC,1e-06,10,40,0.2569565384452548
663,BC,1e-06,20,10,0.060699952985832084
579,BC,1e-06,20,20,0.10705601400443254
482,BC,1e-06,20,30,0.11730107048918381
967,BC,1e-06,20,40,0.13819681821983743
158,BC,1e-06,30,10,0.04637822298116412
986,BC,1e-06,30,20,0.08786392467067328
473,BC,1e-06,30,30,0.09214570926110366
759,BC,1e-06,30,40,0.0959701884527433
509,BC,1e-06,40,10,0.036499315307141234
254,BC,1e-06,40,20,0.071254194215847
593,BC,1e-06,40,30,0.08150082844841466
2772,BC,1e-06,40,40,0.08613571466051695
5995,BC,1e-05,10,10,0.10358157660525391
9671,BC,1e-05,10,20,0.22346978485145352
9954,BC,1e-05,10,30,0.3321229897234278
5880,BC,1e-05,10,40,0.34817679327693585
5472,BC,1e-05,20,10,0.06898298676145731
7340,BC,1e-05,20,20,0.16050265153665455
5614,BC,1e-05,20,30,0.18097014628012975
2143,BC,1e-05,20,40,0.1294045392985531
11140,BC,1e-05,30,10,0.08333106381931776
11244,BC,1e-05,30,20,0.12711563944584414
10412,BC,1e-05,30,30,0.18320112912087205
6369,BC,1e-05,30,40,0.20506608073936128
3562,BC,1e-05,40,10,0.04049960251529572
3247,BC,1e-05,40,20,0.09829319481249188
3238,BC,1e-05,40,30,0.09839725444300829
1421,BC,1e-05,40,40,0.08082310602370346
1365,BC,1e-06,10,10,0.08984296361944855
1980,BC,1e-06,10,20,0.18878732066714154
854,BC,1e-06,10,30,0.21618023790077256
990,BC,1e-06,10,40,0.259591930700775
325,BC,1e-06,20,10,0.060452799005957014
761,BC,1e-06,20,20,0.10399165432547686
800,BC,1e-06,20,30,0.1169922039072806
516,BC,1e-06,20,40,0.1271246385064453
571,BC,1e-06,30,10,0.04763753406035942
457,BC,1e-06,30,20,0.0836656262072979
572,BC,1e-06,30,30,0.09329989270991723
880,BC,1e-06,30,40,0.10431232059730566
385,BC,1e-06,40,10,0.0369649371359303
1114,BC,1e-06,40,20,0.07545911871124222
707,BC,1e-06,40,30,0.0825668525325709
788,BC,1e-06,40,40,0.09179461908091757
15157,BC,1e-05,10,10,0.12093862502898933
7265,BC,1e-05,10,20,0.2299616196840757
9808,BC,1e-05,10,30,0.2872280018868433
2014,BC,1e-05,10,40,0.265927341220659
9358,BC,1e-05,20,10,0.06677287769772122
12245,BC,1e-05,20,20,0.13416826363406054
5691,BC,1e-05,20,30,0.20790387929350584
13227,BC,1e-05,20,40,0.2882261383498589
7946,BC,1e-05,30,10,0.06274386741619675
14887,BC,1e-05,30,20,0.21009316350814722
3529,BC,1e-05,30,30,0.1384874477996878
3834,BC,1e-05,30,40,0.15710930178550297
10420,BC,1e-05,40,10,0.0766670560217928
8236,BC,1e-05,40,20,0.15829424238634549
6358,BC,1e-05,40,30,0.1579710241403951
4497,BC,1e-05,40,40,0.11436074258496698
1029,BC,1e-06,10,10,0.08657954805874146
1159,BC,1e-06,10,20,0.18021152180349986
1307,BC,1e-06,10,30,0.2075776098176687
1144,BC,1e-06,10,40,0.26681456301148165
624,BC,1e-06,20,10,0.061304240404771004
933,BC,1e-06,20,20,0.10590932035538381
368,BC,1e-06,20,30,0.10671251038543716
613,BC,1e-06,20,40,0.11949874961210594
2105,BC,1e-06,30,10,0.047281580809302226
846,BC,1e-06,30,20,0.08420249737691599
1001,BC,1e-06,30,30,0.10268806089877758
865,BC,1e-06,30,40,0.10152521025042194
1142,BC,1e-06,40,10,0.04127733788733212
1160,BC,1e-06,40,20,0.07942808418272307
187,BC,1e-06,40,30,0.07506695054380619
